,Surface,"GH*,ML ","GH*,DFT"
239,CoNi,-0.32,-0.12
240,CoSc,6,-0.14
246,CrCu,0.13,-0.17
256,CuFe,0.13,0.16
257,CuMn,-0.02,-0.02
259,CuPd,0.32,0.1
260,CuPt,0.09,0.04
261,CuRu,-0.62,0
263,CuTc,-0.4,-0.17
271,FeNi,-0.07,-0.12
274,FeRu,-0.41,-0.16
340,NiNi,-0.03,0.14
341,NiPd,-0.08,-0.08
343,NiRu,-0.47,0.02
346,NiZn,-0.14,-0.2
361,PtRu,-0.33,-0.12
379,RuSc,-0.24,-0.09
381,RuTc,-0.3,-0.11
